MouseID,Tg,SLC_Genotype,
223,Negative,WT ,"*please note that several mice lost tags, so only info on this sheet is accurate and not on the OG breeding sheet"
224,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,Positive,WT,
248,,,
252,Positive,MUT,
253,Negative,MUT,
254,Positive ,MUT,
,,,
282,,,
283,,,
284,,,
368,,,
286,,,
310,,,
311,,,
312,,,
319,,,
,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
,,,
342,,,
343,,,
378,,,
486,,,
487,,,
488,,,
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
,,,
452,,,
453,,,
349,,,
457,,,
458,,,
459,,,
439,,,
440,,,
441,,,
442,,,
443,,,
445,,,
446,,,
447,,,
448,,,
