ProteinID,902_HET_M_imputed_intensity,903_MUT_M_imputed_intensity,904_HET_M_imputed_intensity,907_MUT_F_imputed_intensity,910_WT_M_imputed_intensity,911_WT_M_imputed_intensity,Entry Name,Protein names
P27661,27.79807478,28.26489837,27.77381833,28.38327836,29.17750864,27.88706737,H2AX_MOUSE,Histone H2AX (H2a/x) (Histone H2A.X)
P62806,27.40260967,27.88390214,28.05054597,28.41629884,29.62663152,28.32498477,H4_MOUSE,Histone H4
P60710,26.06577513,26.49591015,26.24196686,26.34703487,25.8599839,25.88968972,ACTB_MOUSE,"Actin, cytoplasmic 1 (Beta-actin) (EC 3.6.4.-) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]"
P15864,26.00388021,26.13362381,26.14319409,26.48923444,27.39851375,26.04382457,H12_MOUSE,Histone H1.2 (H1 VAR.1) (H1c)
E9Q3M9,25.94732035,26.31241228,25.77762555,25.99866729,26.08281044,25.7924569,E9Q3M9_MOUSE,Capping protein inhibiting regulator of actin like
P43274,25.93968789,26.11095023,25.46190779,26.38052402,27.17880304,25.78499291,H14_MOUSE,Histone H1.4 (H1 VAR.2) (H1e)
Q64525,25.83688577,26.05244923,25.91425418,26.60212569,27.29873866,26.23946881,H2B2B_MOUSE,Histone H2B type 2-B (H2B-clustered histone 18) (H2b-616)
P43275,25.66846293,25.80337526,25.63681388,26.27504924,27.20733924,25.79575967,H11_MOUSE,Histone H1.1 (H1 VAR.3) (Histone H1a) (H1a)
P11679,25.23024521,25.93658223,25.04460223,25.70132973,25.00337842,25.32330536,K2C8_MOUSE,"Keratin, type II cytoskeletal 8 (Cytokeratin endo A) (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)"
P43276,24.99708487,24.87475383,24.66262687,25.28761728,26.37009431,24.77513039,H15_MOUSE,Histone H1.5 (H1 VAR.5) (H1b)
P51881,24.68958386,23.98929609,24.29890469,24.42065545,24.90325006,24.76955217,ADT2_MOUSE,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]"
P14094,24.53251621,22.69865338,23.40254787,23.48481847,25.35718564,23.8096759,AT1B1_MOUSE,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)
P19001,24.49270527,25.23965272,24.37743429,24.978387,24.27924131,24.69928162,K1C19_MOUSE,"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)"
Q8BFZ3,24.36560959,25.28537174,24.67083343,24.83727086,24.39599506,24.39803908,ACTBL_MOUSE,Beta-actin-like protein 2 (Kappa-actin)
P02301,24.32617874,24.9363396,25.09901482,25.50086521,26.43137779,25.18591317,H3C_MOUSE,Histone H3.3C (Embryonic)
Q922U2,24.32008877,21.74534361,22.36489128,21.88198846,22.37503731,22.09717184,K2C5_MOUSE,"Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)"
Q8VDN2,24.11191538,22.44346161,23.10854073,23.1074955,24.9271164,23.43706575,AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)
P00405,24.08397105,24.45385035,24.76053012,24.94393164,23.90599693,24.63917066,COX2_MOUSE,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)
Q03265,24.02722299,23.19875077,24.0080336,24.00444612,24.05169652,23.82106158,ATPA_MOUSE,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)"
P04104,23.98651253,21.69035782,22.1600579,21.33300244,22.5934276,21.91847094,K2C1_MOUSE,"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Keratin-1) (K1) (Type-II keratin Kb1)"
P56480,23.89320116,22.93623355,23.8398531,23.80585406,24.00367437,23.68597509,ATPB_MOUSE,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)"
P12787,23.7369539,23.71866665,24.63504031,24.61112186,23.38233114,24.31244344,COX5A_MOUSE,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)"
Q9CQW5,23.65458097,21.88838727,22.41438072,23.27763192,23.35741723,23.29364564,LEG2_MOUSE,Galectin-2 (Gal-2)
Q6GSS7,23.5827351,22.81884427,23.43613812,23.03583645,23.33183324,23.2914973,H2A2A_MOUSE,Histone H2A type 2-A (H2a-614) (H2a-615) (Histone H2A.2)
P07356,23.552413,23.30969172,23.68756705,23.80422006,23.61426546,23.73089423,ANXA2_MOUSE,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)
P62983,23.4240499,23.4019883,23.69586164,24.13214354,23.89729745,23.36162631,RS27A_MOUSE,Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)]
Q9D312,23.42053339,23.9736175,23.29944281,24.13606929,23.4850028,23.54468763,K1C20_MOUSE,"Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20)"
Q3UV17,23.34809759,20.8076002,21.55273663,20.78143176,21.80728967,21.23982459,K22O_MOUSE,"Keratin, type II cytoskeletal 2 oral (Keratin-76) (K76) (Type-II keratin Kb9)"
Q64133,23.24736084,22.95655305,23.88655582,23.84075603,23.60742965,23.61073335,AOFA_MOUSE,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
Q8K419,23.2298075,23.4845112,23.41383604,23.78622256,23.55316334,23.74325537,LEG4_MOUSE,Galectin-4 (Gal-4) (Lactose-binding lectin 4)
E9Q0F0,23.22093534,20.86015493,21.379555,20.97297278,21.8542726,21.48715898,E9Q0F0_MOUSE,Keratin 78
P10126,23.16339416,23.40571903,23.18953564,23.47271166,23.48007918,23.29787679,EF1A1_MOUSE,Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu) (EF-Tu) (Eukaryotic elongation factor 1 A-1) (eEF1A-1)
P63268,23.08897453,24.83012038,23.84114009,23.94768152,23.58924287,23.0761012,ACTH_MOUSE,"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]"
P14733,23.04261658,23.07852676,23.06382789,22.88712503,22.51406677,22.77877178,LMNB1_MOUSE,Lamin-B1
P19783,23.03486981,23.36527585,23.79256115,23.64293131,22.82887483,23.47826551,COX41_MOUSE,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1) (COX IV-1)"
Q8VEM8,22.95666648,21.94130628,23.00797716,22.58757748,22.77874571,22.72210292,S25A3_MOUSE,"Solute carrier family 25 member 3 (Phosphate carrier protein, mitochondrial) (Phosphate transport protein) (PTP)"
Q8R0W0,22.9319292,23.28436946,23.2014575,23.02639916,22.21651497,22.95610102,EPIPL_MOUSE,Epiplakin
Q60930,22.91495989,23.34114959,23.62021893,23.79892145,22.99632211,23.4710376,VDAC2_MOUSE,Voltage-dependent anion-selective channel protein 2 (VDAC-2) (mVDAC2) (Outer mitochondrial membrane protein porin 2) (Voltage-dependent anion-selective channel protein 6) (VDAC-6) (mVDAC6)
P19536,22.79853588,22.91176391,23.50708664,23.58014906,22.65572986,23.22427671,COX5B_MOUSE,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)"
P0C0S6,22.78612682,23.78112755,22.56613396,22.39791639,23.4603274,21.90434209,H2AZ_MOUSE,Histone H2A.Z (H2A/z)
Q60932,22.72485271,23.24946737,23.65715705,23.80509635,23.00074312,23.397086,VDAC1_MOUSE,Non-selective voltage-gated ion channel VDAC1 (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Voltage-dependent anion-selective channel protein 1) (VDAC-1) (mVDAC1) (Voltage-dependent anion-selective channel protein 5) (VDAC-5) (mVDAC5)
P48678,22.7246196,22.94856935,22.82278942,22.58326782,21.75743559,22.42586896,LMNA_MOUSE,Prelamin-A/C [Cleaved into: Lamin-A/C]
Q6ZQM8,22.61728226,21.68674244,22.23322645,21.59414324,22.00662193,21.51444246,UD17_MOUSE,UDP-glucuronosyltransferase 1A7 (UGT1A7) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-7C) (UDPGT 1-7C) (UGT1*7C) (UGT1-07C) (UGT1.7C) (UDP-glucuronosyltransferase 1A7C)
O35129,22.61674177,21.92352118,22.87523114,22.29615501,22.49878543,22.86563587,PHB2_MOUSE,Prohibitin-2 (B-cell receptor-associated protein BAP37) (Repressor of estrogen receptor activity)
