"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"Q762D5",2.3424686638652,13.7279424205556,3.98080424937802,0.000981961016110378,0.485331223269394,-4.40373663570708,"Q762D5","Q762D5","Q762D5","reviewed","S35D2_MOUSE","Nucleotide sugar transporter SLC35D2 (Solute carrier family 35 member D2) (UDP-galactose transporter-related protein 8) (UGTrel8)","Slc35d2 Ugtrel8","Mus musculus (Mouse)",326,"heparan sulfate proteoglycan biosynthetic process [GO:0015012]","GO:0000139; GO:0005338; GO:0005460; GO:0005462; GO:0005794; GO:0015012; GO:0015297","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]","antiporter activity [GO:0015297]; nucleotide-sugar transmembrane transporter activity [GO:0005338]; UDP-glucose transmembrane transporter activity [GO:0005460]; UDP-N-acetylglucosamine transmembrane transporter activity [GO:0005462]","","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; antiporter activity [GO:0015297]; nucleotide-sugar transmembrane transporter activity [GO:0005338]; UDP-glucose transmembrane transporter activity [GO:0005460]; UDP-N-acetylglucosamine transmembrane transporter activity [GO:0005462]; heparan sulfate proteoglycan biosynthetic process [GO:0015012]","SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q76EJ3}; Multi-pass membrane protein {ECO:0000255}.",FALSE
"Q9CR50",1.4844204445392,14.7925494211111,3.9603826695687,0.00102620367004393,0.485331223269394,-4.40489942790823,"Q9CR50","Q9CR50","Q9CR50","reviewed","ZN363_MOUSE","RING finger and CHY zinc finger domain-containing protein 1 (EC 2.3.2.27) (Androgen receptor N-terminal-interacting protein) (CH-rich-interacting match with PLAG1) (E3 ubiquitin-protein ligase Pirh2) (RING-type E3 ubiquitin transferase RCHY1) (Zinc finger protein 363)","Rchy1 Arnip Chimp Zfp363 Znf363","Mus musculus (Mouse)",261,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0000151; GO:0002039; GO:0005634; GO:0005829; GO:0006511; GO:0008270; GO:0016567; GO:0016607; GO:0031398; GO:0032436; GO:0042803; GO:0051865; GO:0061630; GO:0072344","cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]","p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]","","cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]; ubiquitin-dependent protein catabolic process [GO:0006511]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q96PM5}. Nucleus speckle {ECO:0000250|UniProtKB:Q96PM5}. Cytoplasm {ECO:0000250|UniProtKB:Q96PM5}.",FALSE
"Q8R2N0",3.81629721707153,11.8163592057222,3.84592710400216,0.00131399659337769,0.485331223269394,-4.41151664734424,"Q8R2N0","Q8R2N0","Q8R2N0","reviewed","TAP26_MOUSE","Thyroid transcription factor 1-associated protein 26 (TTF-1-associated protein 26) (Coiled-coil domain-containing protein 59)","Ccdc59 D10Ertd718e Tap26","Mus musculus (Mouse)",240,"","GO:0005634","nucleus [GO:0005634]","","","nucleus [GO:0005634]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",FALSE
"Q5SSF7",3.20832624589134,12.7629438361667,3.65262542302411,0.0019957320230534,0.485331223269394,-4.42307315765908,"Q5SSF7","Q5SSF7","Q5SSF7","reviewed","TET5C_MOUSE","Terminal nucleotidyltransferase 5C (EC 2.7.7.19)","Tent5c Fam46c","Mus musculus (Mouse)",391,"in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","GO:0001701; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0045596; GO:0048255; GO:1990817","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]","","centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; poly(A) RNA polymerase activity [GO:1990817]; RNA binding [GO:0003723]; in utero embryonic development [GO:0001701]; mRNA stabilization [GO:0048255]; negative regulation of cell differentiation [GO:0045596]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q5VWP2}. Cytoplasm {ECO:0000269|PubMed:28931820}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5VWP2}. Note=Recruited into the centrosome through its interaction with PLK4. {ECO:0000250|UniProtKB:Q5VWP2}.",FALSE
"A3KGF7",2.44030715021458,12.9675788456667,3.65216612197448,0.00199771504932564,0.485331223269394,-4.42310117669828,"A3KGF7","A3KGF7","A3KGF7","reviewed","PLCB2_MOUSE","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-2) (Phospholipase C-beta-2) (PLC-beta-2)","Plcb2","Mus musculus (Mouse)",1181,"detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]; phosphatidylinositol metabolic process [GO:0046488]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; sensory perception of bitter taste [GO:0050913]","GO:0001580; GO:0004435; GO:0005509; GO:0005543; GO:0005737; GO:0007200; GO:0016042; GO:0031680; GO:0031683; GO:0035556; GO:0046488; GO:0050913; GO:0098992","cytoplasm [GO:0005737]; G-protein beta/gamma-subunit complex [GO:0031680]; neuronal dense core vesicle [GO:0098992]","calcium ion binding [GO:0005509]; G-protein beta/gamma-subunit complex binding [GO:0031683]; phosphatidylinositol-4,5-bisphosphate phospholipase C activity [GO:0004435]; phospholipid binding [GO:0005543]","","cytoplasm [GO:0005737]; G-protein beta/gamma-subunit complex [GO:0031680]; neuronal dense core vesicle [GO:0098992]; calcium ion binding [GO:0005509]; G-protein beta/gamma-subunit complex binding [GO:0031683]; phosphatidylinositol-4,5-bisphosphate phospholipase C activity [GO:0004435]; phospholipid binding [GO:0005543]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; intracellular signal transduction [GO:0035556]; lipid catabolic process [GO:0016042]; phosphatidylinositol metabolic process [GO:0046488]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; sensory perception of bitter taste [GO:0050913]","",FALSE
"Q8CBA2",1.86795853982118,14.22647599,3.58868857084115,0.00229158030098768,0.485331223269394,-4.42699857551613,"Q8CBA2","Q8CBA2","Q8CBA2","reviewed","SLFN5_MOUSE","Schlafen family member 5","Slfn5","Mus musculus (Mouse)",884,"cell differentiation [GO:0030154]","GO:0005524; GO:0005634; GO:0030154","nucleus [GO:0005634]","ATP binding [GO:0005524]","","nucleus [GO:0005634]; ATP binding [GO:0005524]; cell differentiation [GO:0030154]","",FALSE
"Q99KZ6",3.67196195895323,12.2246536707222,3.53126701563369,0.00259434567081684,0.485331223269394,-4.43056648993612,"Q99KZ6","Q99KZ6","Q99KZ6","reviewed","ZN639_MOUSE","Zinc finger protein 639 (Zinc finger protein ZASC1)","Znf639 Zasc1 Zfp639","Mus musculus (Mouse)",485,"negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of cell growth [GO:0030307]; symbiont entry into host cell [GO:0046718]","GO:0000976; GO:0000978; GO:0001228; GO:0003700; GO:0005634; GO:0005654; GO:0008270; GO:0030307; GO:0043922; GO:0043923; GO:0045892; GO:0046718","nucleoplasm [GO:0005654]; nucleus [GO:0005634]","DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]","","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of cell growth [GO:0030307]; symbiont entry into host cell [GO:0046718]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.",FALSE
"Q3UMM4",2.72341549641541,12.4362761042222,3.40895054605114,0.00337831529995078,0.485331223269394,-4.43829724330328,"Q3UMM4","Q3UMM4","Q3UMM4","reviewed","CDK10_MOUSE","Cyclin-dependent kinase 10 (EC 2.7.11.22) (Cell division protein kinase 10)","Cdk10","Mus musculus (Mouse)",360,"cell projection organization [GO:0030030]; negative regulation of cilium assembly [GO:1902018]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of MAPK cascade [GO:0043410]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of mitotic cell cycle [GO:0007346]","GO:0000307; GO:0004674; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0007346; GO:0018107; GO:0030030; GO:0032956; GO:0036064; GO:0043410; GO:0097472; GO:0106310; GO:1902018; GO:1902749","ciliary basal body [GO:0036064]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATP binding [GO:0005524]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]","","ciliary basal body [GO:0036064]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; cell projection organization [GO:0030030]; negative regulation of cilium assembly [GO:1902018]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of MAPK cascade [GO:0043410]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of cell cycle G2/M phase transition [GO:1902749]; regulation of mitotic cell cycle [GO:0007346]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q15131}.",FALSE
"Q7TSN7",2.45918761929849,13.5259295622222,3.40181923773366,0.00343066729683944,0.485331223269394,-4.43875331520163,"Q7TSN7","Q7TSN7","Q7TSN7","reviewed","IGSF5_MOUSE","Immunoglobulin superfamily member 5 (IgSF5) (Junctional adhesion molecule 4) (JAM-4)","Igsf5 Jam4","Mus musculus (Mouse)",370,"cell-cell adhesion [GO:0098609]","GO:0005923; GO:0009986; GO:0016324; GO:0030165; GO:0098609","apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]","PDZ domain binding [GO:0030165]","","apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; PDZ domain binding [GO:0030165]; cell-cell adhesion [GO:0098609]","SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q5VJ70}; Single-pass type I membrane protein {ECO:0000255}. Cell junction, tight junction {ECO:0000250|UniProtKB:Q5VJ70}.",FALSE
"Q9CQ75",-1.34927977977991,22.4741932333333,-3.28031110838948,0.00445659639547831,0.485331223269394,-4.44661139373604,"Q9CQ75","Q9CQ75","Q9CQ75","reviewed","NDUA2_MOUSE","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)","Ndufa2","Mus musculus (Mouse)",99,"aerobic respiration [GO:0009060]; blastocyst hatching [GO:0001835]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","GO:0001835; GO:0005739; GO:0005743; GO:0008137; GO:0009060; GO:0042776; GO:0045271","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]","NADH dehydrogenase (ubiquinone) activity [GO:0008137]","","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; aerobic respiration [GO:0009060]; blastocyst hatching [GO:0001835]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:38575788}; Peripheral membrane protein {ECO:0000269|PubMed:38575788}; Matrix side {ECO:0000269|PubMed:38575788}.",FALSE
