"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description"
"0610007P14Rik","0610007P14Rik",1524.42980935652,0.0827669209266617,0.136827503832249,0.604899735861106,0.545245618679766,0.927095326506611,"RIKEN cDNA 0610007P14 gene [Source:MGI Symbol;Acc:MGI:1915571]"
"0610009B22Rik","0610009B22Rik",408.308755757699,0.0923933406602946,0.0584617771382553,1.58040595382168,0.114013928964104,0.538410811654068,"RIKEN cDNA 0610009B22 gene [Source:MGI Symbol;Acc:MGI:1913300]"
"0610009L18Rik","0610009L18Rik",27.2624352094861,0.1398868677167,0.286824515571539,0.487708895587098,0.62575604995924,0.964931436555011,"RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]"
"0610009O20Rik","0610009O20Rik",814.680453436674,-0.0126414212918794,0.0800555755044216,-0.157908068391579,0.874529240178018,1,"RIKEN cDNA 0610009O20 gene [Source:MGI Symbol;Acc:MGI:1914089]"
"0610010F05Rik","0610010F05Rik",440.212866578461,0.142658050630702,0.11878234745984,1.20100379965074,0.229749727423681,0.690105440784225,"RIKEN cDNA 0610010F05 gene [Source:MGI Symbol;Acc:MGI:1918925]"
"0610010K14Rik","0610010K14Rik",295.003849691955,0.0464571513581155,0.155835858584995,0.298115926462312,0.765614686376928,1,"RIKEN cDNA 0610010K14 gene [Source:MGI Symbol;Acc:MGI:1915609]"
"0610012G03Rik","0610012G03Rik",466.708049805616,0.128812781685437,0.213251461520336,0.604041729735827,0.545815898659625,0.927531311015316,"RIKEN cDNA 0610012G03 gene [Source:MGI Symbol;Acc:MGI:1913301]"
"0610030E20Rik","0610030E20Rik",1145.17836509747,-0.122635079887505,0.104773969806505,-1.17047278168409,0.241810761305865,0.704853304163285,"RIKEN cDNA 0610030E20 gene [Source:MGI Symbol;Acc:MGI:1915614]"
"0610037L13Rik","0610037L13Rik",472.345561071052,0.179442330071755,0.149175501310924,1.2028940978569,0.229017304616611,0.688845952875983,"RIKEN cDNA 0610037L13 gene [Source:MGI Symbol;Acc:MGI:1921348]"
"0610040J01Rik","0610040J01Rik",1100.42319375352,0.170886017430116,0.146735524700157,1.16458517989634,0.244186945590374,0.709503596502045,"RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]"
"1110002E22Rik","1110002E22Rik",6.08249856352208,-0.739195103383483,0.420062411393652,-1.75972684852005,0.0784541312858331,0.474606005400582,"RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]"
"1110004E09Rik","1110004E09Rik",316.684003598235,0.174017971064877,0.125753469734066,1.38380254185334,0.166418924530689,0.614983664011063,"RIKEN cDNA 1110004E09 gene [Source:MGI Symbol;Acc:MGI:1915251]"
"1110008F13Rik","1110008F13Rik",1344.21783529599,0.0678268969793682,0.131649996182398,0.515206220632136,0.606408922574805,0.955354140314181,"RIKEN cDNA 1110008F13 gene [Source:MGI Symbol;Acc:MGI:1914638]"
"1110008L16Rik","1110008L16Rik",483.978928216628,-0.0210854248774518,0.174444260076897,-0.120871990102495,0.903792428136093,1,"RIKEN cDNA 1110008L16 gene [Source:MGI Symbol;Acc:MGI:1913382]"
"1110008P14Rik","1110008P14Rik",162.601272153741,-0.0256430417260144,0.268313128976252,-0.0955713267697907,0.923861038854173,1,"RIKEN cDNA 1110008P14 gene [Source:MGI Symbol;Acc:MGI:1920987]"
"1110012L19Rik","1110012L19Rik",272.642377455345,-0.107329042852521,0.0915698395486031,-1.17210037040147,0.241156761240868,0.704059622317131,"RIKEN cDNA 1110012L19 gene [Source:MGI Symbol;Acc:MGI:1915868]"
"1110017D15Rik","1110017D15Rik",1.2123551181638,0.550197727775227,0.791847820291086,0.694827609139559,0.487163343597664,0.895768251097188,"RIKEN cDNA 1110017D15 gene [Source:MGI Symbol;Acc:MGI:1920971]"
"1110032A03Rik","1110032A03Rik",449.822121695876,0.53126928330744,0.21476103857493,2.47376938960966,0.0133695965825272,0.287340058427205,"RIKEN cDNA 1110032A03 gene [Source:MGI Symbol;Acc:MGI:1915971]"
"1110032F04Rik","1110032F04Rik",16.3694224059618,-0.00182101844587836,0.37757617481497,-0.00482291671811851,0.996151884130781,1,"RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975]"
"1110034G24Rik","1110034G24Rik",80.3957994522155,-0.0979912559347677,0.157648345845487,-0.62158125040405,0.534217252969954,0.92234216495838,"RIKEN cDNA 1110034G24 gene [Source:MGI Symbol;Acc:MGI:1920997]"
"1110037F02Rik","1110037F02Rik",1580.0330747537,-0.0275632934849159,0.143473993007994,-0.192113517628105,0.847653286599025,1,"RIKEN cDNA 1110037F02 gene [Source:MGI Symbol;Acc:MGI:1913435]"
"1110038F14Rik","1110038F14Rik",307.986081902525,-0.164294967476243,0.163552083825683,-1.00454218395255,0.315117348965256,0.779950098796605,"RIKEN cDNA 1110038F14 gene [Source:MGI Symbol;Acc:MGI:2152337]"
"1110051M20Rik","1110051M20Rik",130.307920377442,0.108403331049813,0.151011403617661,0.717848642240782,0.472850617346289,0.886906678481483,"RIKEN cDNA 1110051M20 gene [Source:MGI Symbol;Acc:MGI:1915079]"
"1110059E24Rik","1110059E24Rik",1547.74797584228,0.0060711171211249,0.122006584333442,0.0497605695159257,0.960313188701972,1,"RIKEN cDNA 1110059E24 gene [Source:MGI Symbol;Acc:MGI:1913456]"
"1110059G10Rik","1110059G10Rik",435.498667493772,0.17381106215501,0.108321436756532,1.60458601140673,0.108584941937494,0.531120902676844,"RIKEN cDNA 1110059G10 gene [Source:MGI Symbol;Acc:MGI:1913452]"
"1190002N15Rik","1190002N15Rik",513.985185787396,0.0824849715892671,0.138862448904659,0.594004874895303,0.552508852450616,0.930012278830189,"RIKEN cDNA 1190002N15 gene [Source:MGI Symbol;Acc:MGI:1916111]"
