"","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","value","description"
"1","Gm20503",13.0287044056404,21.7485263678609,3.49291363659106,6.22647125884468,4.77057689270389e-10,7.23457985778545e-06,"HET",NA
"2","Igkv3-1",214.563498378621,-2.59204464467135,0.542892122622686,-4.77451142991227,1.80144052443304e-06,0.0136594227765135,"HET","immunoglobulin kappa variable 3-1 [Source:MGI Symbol;Acc:MGI:1330851]"
"3","Scd1",2758.72097757191,1.77451533888921,0.406345350697407,4.36701277827745,1.25957361131689e-05,0.0636714460520686,"HET","stearoyl-Coenzyme A desaturase 1 [Source:MGI Symbol;Acc:MGI:98239]"
"4","Rsph1",26.5466920099147,1.19945131247391,0.306723435785042,3.91053037536562,9.20936773426745e-05,0.313887339434696,"HET","radial spoke head 1 homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1194909]"
"5","Ighv15-2",10.8860827690272,3.34163557750149,0.876627537341919,3.81192175143607,0.000137890532279049,0.313887339434696,"HET","immunoglobulin heavy variable V15-2 [Source:MGI Symbol;Acc:MGI:4947963]"
"6","Chrna2",13.2030154802379,1.68042264351165,0.442466320116041,3.79785436114311,0.000145954033538991,0.313887339434696,"HET","cholinergic receptor nicotinic alpha 2 subunit [Source:MGI Symbol;Acc:MGI:87886]"
"7","Htr1d",13.2644400128602,-2.05295604001895,0.549938819473829,-3.73306260136933,0.000189165555094219,0.313887339434696,"HET","5-hydroxytryptamine (serotonin) receptor 1D [Source:MGI Symbol;Acc:MGI:96276]"
"8","Slc7a10",7.27753308280502,2.57148852372946,0.694500393262479,3.70264516575672,0.000213363202255882,0.313887339434696,"HET","solute carrier family 7 (cationic amino acid transporter, y+ system), member 10 [Source:MGI Symbol;Acc:MGI:1858261]"
"9","Cyp3a16",8.39270177423251,-3.07603980976667,0.831824448365945,-3.69794349734407,0.000217353253100256,0.313887339434696,"HET","cytochrome P450, family 3, subfamily a, polypeptide 16 [Source:MGI Symbol;Acc:MGI:106099]"
"10","Rhbdl1",17.9465517973393,-0.966739782953667,0.261874611779367,-3.69161323575787,0.000222836146866315,0.313887339434696,"HET","rhomboid like 1 [Source:MGI Symbol;Acc:MGI:2384891]"
"11","Tgfbr3l",26.3969493645581,-0.921633476732537,0.250026597148641,-3.6861417434907,0.000227679573609077,0.313887339434696,"HET","transforming growth factor, beta receptor III-like [Source:MGI Symbol;Acc:MGI:3833469]"
"12","3425401B19Rik",26.5701911298925,1.6084711238092,0.442748519751504,3.63292264582153,0.000280229046664601,0.354139457722389,"HET","RIKEN cDNA 3425401B19 gene [Source:MGI Symbol;Acc:MGI:3588196]"
"13","Arrdc2",170.101631627702,-0.475157439586437,0.133159750562031,-3.56832629665442,0.00035926891477951,0.419101007125482,"HET","arrestin domain containing 2 [Source:MGI Symbol;Acc:MGI:1918057]"
"14","Akap5",39.1697038621662,1.22567063920946,0.348690908058136,3.51506337241551,0.000439649060864698,0.476234143429511,"HET","A kinase anchor protein 5 [Source:MGI Symbol;Acc:MGI:2685104]"
"15","Tshr",6.8911837951281,1.60022550865395,0.459478606604743,3.48269861893811,0.000496386845165532,0.501847100462352,"HET","thyroid stimulating hormone receptor [Source:MGI Symbol;Acc:MGI:98849]"
"16","Rhoq",1353.38784121845,0.269426903470509,0.0798795011709743,3.37291669979044,0.000743764501740911,0.693248686775073,"HET","ras homolog family member Q [Source:MGI Symbol;Acc:MGI:1931553]"
"17","Cab39l",1274.98982550504,0.229316280023466,0.0682323770159303,3.36081329791468,0.00077713337785534,0.693248686775073,"HET","calcium binding protein 39-like [Source:MGI Symbol;Acc:MGI:1914081]"
"18","Rnf34",575.480748936713,0.372632915180567,0.11177897777427,3.33365828351976,0.000857118881364907,0.722122657549934,"HET","ring finger protein 34 [Source:MGI Symbol;Acc:MGI:2153340]"
"19","Nlrp9c",6.27462247256214,-1.65545511739196,0.504905909103577,-3.27873983556877,0.00104271717595002,0.832252945962217,"HET","NLR family, pyrin domain containing 9C [Source:MGI Symbol;Acc:MGI:3028627]"
"20","Hp",52.9068333888206,2.06381735737263,0.637063026969551,3.23958112463379,0.00119705408878858,0.884461210627957,"HET","haptoglobin [Source:MGI Symbol;Acc:MGI:96211]"
"21","Synj1",1327.6680711478,-0.389591018701195,0.120502730995385,-3.23304721381058,0.00122477318979143,0.884461210627957,"HET","synaptojanin 1 [Source:MGI Symbol;Acc:MGI:1354961]"
"22","Stab2",71.6995802234394,0.942348050642053,0.295254601257721,3.19164560561581,0.00141464788491371,0.975142507941654,"HET","stabilin 2 [Source:MGI Symbol;Acc:MGI:2178743]"
"23","Myh6",22.1807845618496,-7.11714856710824,2.27062871320507,-3.13443960508283,0.00172182693601956,0.995018497245035,"HET","myosin, heavy polypeptide 6, cardiac muscle, alpha [Source:MGI Symbol;Acc:MGI:97255]"
"24","Zfp276",358.947571145918,-0.305951785370844,0.0977757013044165,-3.12911880241379,0.00175331403782742,0.995018497245035,"HET","zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]"
"25","Dll4",380.441450221085,-0.325671318261576,0.104696374378009,-3.11062651592624,0.00186690902244381,0.995018497245035,"HET","delta like canonical Notch ligand 4 [Source:MGI Symbol;Acc:MGI:1859388]"
"26","Gm20594",10036.1312333745,-0.893973931160769,0.288055748671834,-3.10347540461421,0.00191262131764871,0.995018497245035,"HET",NA
"27","Zfand5",1950.32071707027,0.18040310328844,0.0581849620185897,3.10051080261601,0.00193187166811379,0.995018497245035,"HET","zinc finger, AN1-type domain 5 [Source:MGI Symbol;Acc:MGI:1278334]"
"28","Cd244",238.023127310218,-0.46357205998899,0.149730254846507,-3.09604802626036,0.0019611859393728,0.995018497245035,"HET",NA
