"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"P31532",-4.0483830645,13.6642125542857,-8.48027863297541,9.47580482957877e-07,0.00811697441701717,5.40961866358197,"P31532","P31532","P31532","reviewed","SAA4_MOUSE","Serum amyloid A-4 protein (Amyloid A-5 protein)","Saa4 Saa5","Mus musculus (Mouse)",130,"acute-phase response [GO:0006953]","GO:0006953; GO:0034364","high-density lipoprotein particle [GO:0034364]","","","high-density lipoprotein particle [GO:0034364]; acute-phase response [GO:0006953]","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P0DJI8}.",FALSE
"P31001",-3.840871294,19.6805404742857,-7.10186687074896,6.79735850911029e-06,0.019875833955949,3.83264574194356,"P31001","P31001","P31001","reviewed","DESM_MOUSE","Desmin","Des","Mus musculus (Mouse)",469,"intermediate filament organization [GO:0045109]; muscle organ development [GO:0007517]; nuclear envelope organization [GO:0006998]","GO:0005200; GO:0005634; GO:0005635; GO:0005737; GO:0005856; GO:0005882; GO:0005911; GO:0005916; GO:0006998; GO:0007517; GO:0008092; GO:0030018; GO:0031594; GO:0042383; GO:0042802; GO:0043292; GO:0045109; GO:0051286; GO:0097512","cardiac myofibril [GO:0097512]; cell tip [GO:0051286]; cell-cell junction [GO:0005911]; contractile muscle fiber [GO:0043292]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; fascia adherens [GO:0005916]; intermediate filament [GO:0005882]; neuromuscular junction [GO:0031594]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; sarcolemma [GO:0042383]; Z disc [GO:0030018]","cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; structural constituent of cytoskeleton [GO:0005200]","Q9Z2C5; Q9UBX2; Q13496","cardiac myofibril [GO:0097512]; cell tip [GO:0051286]; cell-cell junction [GO:0005911]; contractile muscle fiber [GO:0043292]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; fascia adherens [GO:0005916]; intermediate filament [GO:0005882]; neuromuscular junction [GO:0031594]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; sarcolemma [GO:0042383]; Z disc [GO:0030018]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]; structural constituent of cytoskeleton [GO:0005200]; intermediate filament organization [GO:0045109]; muscle organ development [GO:0007517]; nuclear envelope organization [GO:0006998]","SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:26343497, ECO:0000269|PubMed:26787680, ECO:0000269|PubMed:28469177}. Cytoplasm {ECO:0000269|PubMed:25394388, ECO:0000269|PubMed:26787680}. Cell membrane, sarcolemma {ECO:0000269|PubMed:25394388}. Nucleus {ECO:0000269|PubMed:26787680}. Cell tip {ECO:0000269|PubMed:35959657}. Nucleus envelope {ECO:0000269|PubMed:35959657}. Note=Localizes in the intercalated disks which occur at the Z line of cardiomyocytes (By similarity). Localizes in the nucleus exclusively in differentiating cardiac progenitor cells and premature cardiomyocytes (PubMed:26787680). PKP2 is required for correct anchoring of DES at the cell tip and nuclear envelope (PubMed:35959657). {ECO:0000250|UniProtKB:P17661, ECO:0000269|PubMed:26787680, ECO:0000269|PubMed:35959657}.",FALSE
"Q9CQG0",-4.8334525395,13.9967402842857,-6.9243839408482,8.91368321495286e-06,0.019875833955949,3.60791844481996,"Q9CQG0","Q9CQG0","Q9CQG0","reviewed","TMED6_MOUSE","Transmembrane emp24 domain-containing protein 6 (p24 family protein gamma-5) (p24gamma5)","Tmed6","Mus musculus (Mouse)",239,"","GO:0005789","endoplasmic reticulum membrane [GO:0005789]","","","endoplasmic reticulum membrane [GO:0005789]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.",FALSE
"Q8CGN5",-5.34607564100001,14.37517278,-6.69509916073457,1.27298224921493e-05,0.019875833955949,3.3098767259072,"Q8CGN5","Q8CGN5","Q8CGN5","reviewed","PLIN1_MOUSE","Perilipin-1 (Lipid droplet-associated protein) (Perilipin A)","Plin1 Peri Plin","Mus musculus (Mouse)",517,"cellular response to cold [GO:0070417]; lipid catabolic process [GO:0016042]","GO:0005783; GO:0005811; GO:0005829; GO:0016042; GO:0070417","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]","","","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; cellular response to cold [GO:0070417]; lipid catabolic process [GO:0016042]","SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:O60240}. Lipid droplet {ECO:0000269|PubMed:23481402, ECO:0000269|PubMed:24945349}. Note=Lipid droplet surface-associated. {ECO:0000250|UniProtKB:O60240}.",FALSE
"P06683",-5.0455711255,13.9552623885714,-6.66454653540563,1.33560072831447e-05,0.019875833955949,3.26949801504424,"P06683","P06683","P06683","reviewed","CO9_MOUSE","Complement component C9","C9","Mus musculus (Mouse)",548,"cell killing [GO:0001906]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]; protein homooligomerization [GO:0051260]","GO:0001906; GO:0005579; GO:0005615; GO:0005886; GO:0006957; GO:0006958; GO:0031640; GO:0044218; GO:0050778; GO:0051260","extracellular space [GO:0005615]; membrane attack complex [GO:0005579]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]","","","extracellular space [GO:0005615]; membrane attack complex [GO:0005579]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; cell killing [GO:0001906]; complement activation, alternative pathway [GO:0006957]; complement activation, classical pathway [GO:0006958]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]; protein homooligomerization [GO:0051260]","SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:P02748}. Target cell membrane {ECO:0000250|UniProtKB:P02748}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P02748}. Note=Secreted as soluble monomer. Oligomerizes at target membranes, forming a pre-pore. A conformation change then leads to the formation of a 100 Angstrom diameter pore. {ECO:0000250|UniProtKB:P02748}.",FALSE
"Q8CIB5",-3.008108172,19.8208453635714,-6.50866141234736,1.70975915319885e-05,0.019875833955949,3.06102684185028,"Q8CIB5","Q8CIB5","Q8CIB5","reviewed","FERM2_MOUSE","Fermitin family homolog 2 (Kindlin-2) (Pleckstrin homology domain-containing family C member 1)","Fermt2 Plekhc1","Mus musculus (Mouse)",680,"adherens junction maintenance [GO:0034334]; cell-matrix adhesion [GO:0007160]; focal adhesion assembly [GO:0048041]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]; limb development [GO:0060173]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of vascular permeability [GO:0043116]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of integrin activation [GO:0033625]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; protein localization to cell junction [GO:1902414]; protein localization to membrane [GO:0072657]; regulation of cell shape [GO:0008360]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179]; Wnt signaling pathway [GO:0016055]","GO:0001725; GO:0005547; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005912; GO:0005925; GO:0005938; GO:0007160; GO:0007179; GO:0007229; GO:0008360; GO:0009898; GO:0009986; GO:0010718; GO:0016055; GO:0031258; GO:0031674; GO:0033622; GO:0033625; GO:0034334; GO:0034446; GO:0034713; GO:0035025; GO:0043116; GO:0043539; GO:0045599; GO:0045669; GO:0046332; GO:0048041; GO:0051015; GO:0051496; GO:0051894; GO:0051897; GO:0060173; GO:0070374; GO:0072657; GO:0120283; GO:1900026; GO:1900182; GO:1902414; GO:1902462; GO:1903691","adherens junction [GO:0005912]; cell cortex [GO:0005938]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; I band [GO:0031674]; lamellipodium membrane [GO:0031258]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; stress fiber [GO:0001725]","actin filament binding [GO:0051015]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase binding [GO:0120283]; SMAD binding [GO:0046332]; type I transforming growth factor beta receptor binding [GO:0034713]","","adherens junction [GO:0005912]; cell cortex [GO:0005938]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; I band [GO:0031674]; lamellipodium membrane [GO:0031258]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; stress fiber [GO:0001725]; actin filament binding [GO:0051015]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein serine/threonine kinase activator activity [GO:0043539]; protein serine/threonine kinase binding [GO:0120283]; SMAD binding [GO:0046332]; type I transforming growth factor beta receptor binding [GO:0034713]; adherens junction maintenance [GO:0034334]; cell-matrix adhesion [GO:0007160]; focal adhesion assembly [GO:0048041]; integrin activation [GO:0033622]; integrin-mediated signaling pathway [GO:0007229]; limb development [GO:0060173]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of vascular permeability [GO:0043116]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of integrin activation [GO:0033625]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; protein localization to cell junction [GO:1902414]; protein localization to membrane [GO:0072657]; regulation of cell shape [GO:0008360]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179]; Wnt signaling pathway [GO:0016055]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cell projection, lamellipodium membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, myofibril, sarcomere, I band. Cell surface. Note=Colocalizes with actin stress fibers at cell-ECM focal adhesion sites. Colocalizes with ITGB3 at lamellipodia at the leading edge of spreading cells. Binds to membranes that contain phosphatidylinositides (By similarity). {ECO:0000250}.",FALSE
"P01864",-3.821361786,18.38255986,-6.49901257729849,1.7362855011761e-05,0.019875833955949,3.04798788661447,"P01864","P01864","P01864","reviewed","GCAB_MOUSE","Ig gamma-2A chain C region secreted form (B allele)","","Mus musculus (Mouse)",335,"antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","GO:0003823; GO:0006958; GO:0019731; GO:0034987; GO:0042571","immunoglobulin complex, circulating [GO:0042571]","antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]","","immunoglobulin complex, circulating [GO:0042571]; antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]; antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","SUBCELLULAR LOCATION: [Isoform Secreted]: Secreted {ECO:0000305}.",FALSE
"Q9D2R4",-4.60865704,14.7018732264286,-6.45723154294914,1.85625346308186e-05,0.019875833955949,2.99134458061033,"Q9D2R4","Q9D2R4","Q9D2R4","reviewed","TMD11_MOUSE","Transmembrane emp24 domain-containing protein 11 (Glycoprotein 25L) (GP25L) (p24 family protein alpha-1) (p24alpha1)","Tmed11","Mus musculus (Mouse)",215,"","GO:0005789","endoplasmic reticulum membrane [GO:0005789]","","","endoplasmic reticulum membrane [GO:0005789]","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.",FALSE
"P37804",-3.868740934,21.9899265585714,-6.28422358276732,2.45411864393247e-05,0.0233577558932506,2.7536288434314,"P37804","P37804","P37804","reviewed","TAGL_MOUSE","Transgelin (Actin-associated protein p27) (Smooth muscle protein 22-alpha) (SM22-alpha)","Tagln Sm22 Sm22a","Mus musculus (Mouse)",201,"epithelial cell differentiation [GO:0030855]","GO:0005737; GO:0030855","cytoplasm [GO:0005737]","","","cytoplasm [GO:0005737]; epithelial cell differentiation [GO:0030855]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.",FALSE
"Q9JHH9",-3.50535133250001,14.3023633107143,-6.16026641398527,3.00523037036456e-05,0.0257428033525428,2.58016185316963,"Q9JHH9","Q9JHH9","Q9JHH9","reviewed","COPZ2_MOUSE","Coatomer subunit zeta-2 (Zeta-2-coat protein) (Zeta-2 COP)","Copz2","Mus musculus (Mouse)",205,"protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]","GO:0000139; GO:0005829; GO:0006890; GO:0015031; GO:0030126; GO:0030137; GO:0033116","COPI vesicle coat [GO:0030126]; COPI-coated vesicle [GO:0030137]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]","","","COPI vesicle coat [GO:0030126]; COPI-coated vesicle [GO:0030137]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi membrane [GO:0000139]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:17360540}. Endoplasmic reticulum-Golgi intermediate compartment membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Golgi apparatus membrane {ECO:0000269|PubMed:17360540}; Peripheral membrane protein {ECO:0000269|PubMed:17360540}; Cytoplasmic side {ECO:0000269|PubMed:17360540}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. Shows a significant preference for ERGIC and cis-Golgi apparatus compared with trans-Golgi network. {ECO:0000250}.",FALSE
