"ProteinID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UniprotID","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length","Gene.Ontology..biological.process.","Gene.Ontology.IDs","Gene.Ontology..cellular.component.","Gene.Ontology..molecular.function.","Interacts.with","Gene.Ontology..GO.","Subcellular.location..CC.","IsSelenoprotein"
"Q8BGW0",-2.54327611758108,15.4432796073333,-3.55428218347686,0.00133099918624078,0.905241492533831,-4.36539155168815,"Q8BGW0","Q8BGW0","Q8BGW0","reviewed","THMS1_MOUSE","Protein THEMIS (Grb2-associating protein) (Gasp) (Protein thylex) (Thymocyte-expressed molecule involved in selection)","Themis","Mus musculus (Mouse)",636,"adaptive immune response [GO:0002250]; negative T cell selection [GO:0043383]; positive T cell selection [GO:0043368]; T cell receptor signaling pathway [GO:0050852]","GO:0002250; GO:0005634; GO:0005737; GO:0005911; GO:0008180; GO:0043368; GO:0043383; GO:0050852","cell-cell junction [GO:0005911]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]","","Q60631-1","cell-cell junction [GO:0005911]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; adaptive immune response [GO:0002250]; negative T cell selection [GO:0043383]; positive T cell selection [GO:0043368]; T cell receptor signaling pathway [GO:0050852]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19597497, ECO:0000269|PubMed:19597498, ECO:0000269|PubMed:19620281}. Nucleus {ECO:0000269|PubMed:19597498, ECO:0000269|PubMed:19620281}.",FALSE
"P01864",-1.77987811083784,17.059635,-3.38469726779033,0.00207408289928481,0.905241492533831,-4.3827763938069,"P01864","P01864","P01864","reviewed","GCAB_MOUSE","Ig gamma-2A chain C region secreted form (B allele)","","Mus musculus (Mouse)",335,"antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","GO:0003823; GO:0006958; GO:0019731; GO:0034987; GO:0042571","immunoglobulin complex, circulating [GO:0042571]","antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]","","immunoglobulin complex, circulating [GO:0042571]; antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]; antibacterial humoral response [GO:0019731]; complement activation, classical pathway [GO:0006958]","SUBCELLULAR LOCATION: [Isoform Secreted]: Secreted {ECO:0000305}.",FALSE
"Q8K353",-1.11013416016216,20.659928676,-3.36498993097116,0.00218287717521737,0.905241492533831,-4.38480440907656,"Q8K353","Q8K353","Q8K353","reviewed","CYTM1_MOUSE","Cysteine-rich and transmembrane domain-containing protein 1","Cystm1","Mus musculus (Mouse)",104,"","GO:0016020","membrane [GO:0016020]","","","membrane [GO:0016020]","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",FALSE
"Q9D2M8",-1.29038770863513,22.2235615846667,-3.13698500560925,0.00391554249931852,0.905241492533831,-4.40833159255877,"Q9D2M8","Q9D2M8","Q9D2M8","reviewed","UB2V2_MOUSE","Ubiquitin-conjugating enzyme E2 variant 2 (Ubc-like protein MMS2)","Ube2v2 Mms2 Uev2","Mus musculus (Mouse)",145,"DNA double-strand break processing [GO:0000729]; error-free postreplication DNA repair [GO:0042275]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of protein K63-linked ubiquitination [GO:1902523]","GO:0000729; GO:0005634; GO:0005654; GO:0031372; GO:0042275; GO:1902523; GO:2000781","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; UBC13-MMS2 complex [GO:0031372]","","","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; UBC13-MMS2 complex [GO:0031372]; DNA double-strand break processing [GO:0000729]; error-free postreplication DNA repair [GO:0042275]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of protein K63-linked ubiquitination [GO:1902523]","",FALSE
"Q8BND5",-2.99871227104054,17.2857441223333,-3.12343131603814,0.00405213437073272,0.905241492533831,-4.4097317870663,"Q8BND5","Q8BND5","Q8BND5","reviewed","QSOX1_MOUSE","Sulfhydryl oxidase 1 (mSOx) (EC 1.8.3.2) (Quiescin Q6) (Skin sulfhydryl oxidase)","Qsox1 Qscn6 Sox","Mus musculus (Mouse)",748,"extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]","GO:0000139; GO:0003756; GO:0005615; GO:0005783; GO:0005794; GO:0016242; GO:0016971; GO:0070062; GO:0071949; GO:0085029","endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]","FAD binding [GO:0071949]; flavin-dependent sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756]","","endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; FAD binding [GO:0071949]; flavin-dependent sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756]; extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]","SUBCELLULAR LOCATION: [Isoform 1]: Golgi apparatus membrane {ECO:0000250|UniProtKB:O00391}; Single-pass membrane protein {ECO:0000250|UniProtKB:O00391}. Secreted {ECO:0000269|PubMed:26819240}. Note=A small proportion is secreted, probably via a proteolytic cleavage that removes the membrane anchor. {ECO:0000250|UniProtKB:O00391}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:12354420}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000305}.",FALSE
"Q8VIK2",-1.92707105990541,15.7461217893333,-3.09797098853939,0.00432111251427985,0.905241492533831,-4.41236184083816,"Q8VIK2","Q8VIK2","Q8VIK2","reviewed","M17L2_MOUSE","Mpv17-like protein 2","Mpv17l2 Fksg24","Mus musculus (Mouse)",200,"mitochondrial ribosome assembly [GO:0061668]; positive regulation of mitochondrial translation [GO:0070131]","GO:0005739; GO:0005743; GO:0061668; GO:0070131; GO:0140978","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]","mitochondrial large ribosomal subunit binding [GO:0140978]","","mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; mitochondrial large ribosomal subunit binding [GO:0140978]; mitochondrial ribosome assembly [GO:0061668]; positive regulation of mitochondrial translation [GO:0070131]","SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q567V2}.",FALSE
"P27641",1.3566550912027,18.0640060203333,3.0943791484133,0.00436040300865711,0.905241492533831,-4.41273284714501,"P27641","P27641","P27641","reviewed","XRCC5_MOUSE","X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku autoantigen protein p86 homolog) (Ku80) (Nuclear factor IV)","Xrcc5 G22p2","Mus musculus (Mouse)",732,"activation of innate immune response [GO:0002218]; cellular response to gamma radiation [GO:0071480]; cellular response to leukemia inhibitory factor [GO:1990830]; DNA damage response [GO:0006974]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; hematopoietic stem cell differentiation [GO:0060218]; hematopoietic stem cell proliferation [GO:0071425]; innate immune response [GO:0045087]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of t-circle formation [GO:1904430]; neurogenesis [GO:0022008]; positive regulation of neurogenesis [GO:0050769]; protein localization to chromosome, telomeric region [GO:0070198]; recombinational repair [GO:0000725]; regulation of smooth muscle cell proliferation [GO:0048660]; small-subunit processome assembly [GO:0034462]; telomere maintenance via telomerase [GO:0007004]","GO:0000725; GO:0000781; GO:0000976; GO:0002218; GO:0003678; GO:0003684; GO:0003691; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005886; GO:0005958; GO:0006302; GO:0006303; GO:0006974; GO:0007004; GO:0016887; GO:0022008; GO:0031625; GO:0032040; GO:0032993; GO:0034462; GO:0034511; GO:0043564; GO:0044877; GO:0045027; GO:0045087; GO:0045892; GO:0048660; GO:0050769; GO:0051575; GO:0060218; GO:0070198; GO:0070418; GO:0070419; GO:0071425; GO:0071480; GO:0090734; GO:1904430; GO:1990830; GO:1990904","chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; DNA-dependent protein kinase complex [GO:0070418]; DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; Ku70:Ku80 complex [GO:0043564]; nonhomologous end joining complex [GO:0070419]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; site of DNA damage [GO:0090734]; small-subunit processome [GO:0032040]","5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; damaged DNA binding [GO:0003684]; DNA end binding [GO:0045027]; DNA helicase activity [GO:0003678]; double-stranded telomeric DNA binding [GO:0003691]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; transcription cis-regulatory region binding [GO:0000976]; U3 snoRNA binding [GO:0034511]; ubiquitin protein ligase binding [GO:0031625]","","chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; DNA-dependent protein kinase complex [GO:0070418]; DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; Ku70:Ku80 complex [GO:0043564]; nonhomologous end joining complex [GO:0070419]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]; site of DNA damage [GO:0090734]; small-subunit processome [GO:0032040]; 5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; damaged DNA binding [GO:0003684]; DNA end binding [GO:0045027]; DNA helicase activity [GO:0003678]; double-stranded telomeric DNA binding [GO:0003691]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; transcription cis-regulatory region binding [GO:0000976]; U3 snoRNA binding [GO:0034511]; ubiquitin protein ligase binding [GO:0031625]; activation of innate immune response [GO:0002218]; cellular response to gamma radiation [GO:0071480]; cellular response to leukemia inhibitory factor [GO:1990830]; DNA damage response [GO:0006974]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; hematopoietic stem cell differentiation [GO:0060218]; hematopoietic stem cell proliferation [GO:0071425]; innate immune response [GO:0045087]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of t-circle formation [GO:1904430]; neurogenesis [GO:0022008]; positive regulation of neurogenesis [GO:0050769]; protein localization to chromosome, telomeric region [GO:0070198]; recombinational repair [GO:0000725]; regulation of smooth muscle cell proliferation [GO:0048660]; small-subunit processome assembly [GO:0034462]; telomere maintenance via telomerase [GO:0007004]","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P13010}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P13010}. Chromosome {ECO:0000250|UniProtKB:P13010}.",FALSE
"Q78XR0",-1.19074682102703,17.0772129366667,-2.98125666305684,0.00578718282255999,0.905241492533831,-4.42440838014798,"Q78XR0","Q78XR0","Q78XR0","reviewed","TPC6A_MOUSE","Trafficking protein particle complex subunit 6A (TRAPP complex subunit 6A)","Trappc6a","Mus musculus (Mouse)",159,"COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; vesicle tethering [GO:0099022]","GO:0005737; GO:0005783; GO:0006888; GO:0048208; GO:0099022; GO:1990072","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; TRAPPIII protein complex [GO:1990072]","","","cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; TRAPPIII protein complex [GO:1990072]; COPII vesicle coating [GO:0048208]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; vesicle tethering [GO:0099022]","SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network {ECO:0000250}. Endoplasmic reticulum {ECO:0000250}.",FALSE
"Q8CHP0",-2.47454564316216,16.487296972,-2.96758223989983,0.00598703019771755,0.905241492533831,-4.42581791689026,"Q8CHP0","Q8CHP0","Q8CHP0","reviewed","ZC3H3_MOUSE","Zinc finger CCCH domain-containing protein 3 (Smad-interacting CPSF-like factor)","Zc3h3 Kiaa0150 Smicl Zc3hdc3 Zfp623","Mus musculus (Mouse)",950,"mRNA 3'-end processing [GO:0031124]; mRNA transport [GO:0051028]; positive regulation of activin receptor signaling pathway [GO:0032927]","GO:0003677; GO:0005634; GO:0005847; GO:0008270; GO:0031124; GO:0032927; GO:0046332; GO:0051028; GO:0070412","mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]","DNA binding [GO:0003677]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]; zinc ion binding [GO:0008270]","","mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nucleus [GO:0005634]; DNA binding [GO:0003677]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]; zinc ion binding [GO:0008270]; mRNA 3'-end processing [GO:0031124]; mRNA transport [GO:0051028]; positive regulation of activin receptor signaling pathway [GO:0032927]","SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16115198}.",FALSE
"Q9QYB1",-0.698983344756752,19.2858090873333,-2.87691932008287,0.00748683272671994,0.905241492533831,-4.43514743728958,"Q9QYB1","Q9QYB1","Q9QYB1","reviewed","CLIC4_MOUSE","Chloride intracellular channel protein 4 (mc3s5/mtCLIC) (Glutaredoxin-like oxidoreductase CLIC4) (EC 1.8.-.-)","Clic4","Mus musculus (Mouse)",253,"angiogenesis [GO:0001525]; branching morphogenesis of an epithelial tube [GO:0048754]; cellular response to calcium ion [GO:0071277]; chloride transport [GO:0006821]; endothelial cell morphogenesis [GO:0001886]; fertilization [GO:0009566]; keratinocyte differentiation [GO:0030216]; multicellular organism growth [GO:0035264]; negative regulation of cell migration [GO:0030336]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; vacuolar acidification [GO:0007035]","GO:0001525; GO:0001886; GO:0005254; GO:0005737; GO:0005739; GO:0005813; GO:0005829; GO:0005886; GO:0005902; GO:0005911; GO:0006821; GO:0007035; GO:0009566; GO:0009986; GO:0016363; GO:0016491; GO:0030216; GO:0030336; GO:0030496; GO:0030659; GO:0034707; GO:0035264; GO:0045177; GO:0048471; GO:0048754; GO:0061299; GO:0071277","apical part of cell [GO:0045177]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; microvillus [GO:0005902]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]","chloride channel activity [GO:0005254]; oxidoreductase activity [GO:0016491]","P70181","apical part of cell [GO:0045177]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; centrosome [GO:0005813]; chloride channel complex [GO:0034707]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; microvillus [GO:0005902]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; chloride channel activity [GO:0005254]; oxidoreductase activity [GO:0016491]; angiogenesis [GO:0001525]; branching morphogenesis of an epithelial tube [GO:0048754]; cellular response to calcium ion [GO:0071277]; chloride transport [GO:0006821]; endothelial cell morphogenesis [GO:0001886]; fertilization [GO:0009566]; keratinocyte differentiation [GO:0030216]; multicellular organism growth [GO:0035264]; negative regulation of cell migration [GO:0030336]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; vacuolar acidification [GO:0007035]","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9Y696}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q9Y696}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9Y696}. Nucleus {ECO:0000250|UniProtKB:Q9Y696}. Cell membrane {ECO:0000250|UniProtKB:Q9Y696}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q9Y696}. Mitochondrion {ECO:0000269|PubMed:10593946, ECO:0000269|PubMed:17636002}. Cell junction {ECO:0000250|UniProtKB:Q9Y696}. Note=Colocalized with AKAP9 at the centrosome and midbody. Exists both as soluble cytoplasmic protein and as membrane protein with probably a single transmembrane domain. Present in an intracellular vesicular compartment that likely represent trans-Golgi network vesicles. Might not be present in the nucleus of cardiac cells. {ECO:0000250|UniProtKB:Q9Y696, ECO:0000250|UniProtKB:Q9Z0W7}.",FALSE
