MouseID,Treatment,Genotype,Sex,Score
131,Indomethacin,WT,Male,3
132,Indomethacin,WT,Male,5
133,Indomethacin,WT,Male,2
21,Indomethacin,WT,Male,5
86,Indomethacin,WT,Male,3
47,Indomethacin,WT,Male,4
106,Indomethacin,WT,Female,4
94,Indomethacin,WT,Female,4
93,Indomethacin,WT,Female,5
190,Indomethacin,WT,Female,4
97,Indomethacin,WT,Female,7
95,Indomethacin,WT,Female,3
20,Indomethacin,MUT,Male,7
19,Indomethacin,MUT,Male,5
134,Indomethacin,MUT,Male,6
135,Indomethacin,MUT,Male,6
136,Indomethacin,MUT,Male,5
111,Indomethacin,MUT,Male,5
175,Indomethacin,MUT,Female,6
129,Indomethacin,MUT,Female,4
150,Indomethacin,MUT,Female,5
112,Indomethacin,MUT,Female,5
87,Indomethacin,WT,Male,7
48,Indomethacin,WT,Male,5
23,Indomethacin,MUT,Male,6
22,Indomethacin,MUT,Male,6
184,Indomethacin,WT,Female,5
108,Indomethacin,MUT,Female,6
147,Indomethacin,MUT,Female,7
162,Indomethacin,MUT,Female,5
163,Indomethacin,MUT,Female,5
101,Negative,WT,Female,2
103,Negative,WT,Female,1
109,Negative,MUT,Female,1
110,Negative,WT,Female,4
137,Negative,MUT,Male,3
141,Negative,MUT,Female,3
142,Negative,MUT,Female,4
143,Negative,MUT,Female,2
144,Negative,WT,Female,2
15,Negative,MUT,Male,4
152,Negative,WT,Male,2
153,Negative,WT,Male,3
155,Negative,WT,Male,3
156,Negative,MUT,Male,5
158,Negative,MUT,Male,2
159,Negative,MUT,Male,4
16,Negative,MUT,Male,4
160,Negative,WT,Male,3
17,Negative,WT,Male,0
18,Negative,MUT,Male,3
192,Negative,MUT,Female,2
193,Negative,MUT,Female,4
75,Negative,MUT,Male,3
197,Negative,WT,Male,1
88,Negative,WT,Male,2
89,Negative,WT,Female,2
90,Negative,WT,Female,2
91,Negative,WT,Female,4
194,Negative,WT,Male,3
191,Negative,MUT,Female,4
