Mouse ID,,Dry Weight,Wet Weight,Difference,Comments,,Sex,Genotype,,,,,MouseID,Age,DOB,Parent-Cage,Sex,Slc39a8-3 MUT,CAGE
660,,6.4208,6.5084,0.0876,,,Female,WT,,,,,464,45w6d,11/26/2022,BCJ18,Female,WT,W14
415,,6.3363,6.3322,-0.0041,Negative?,,Male,WT,,,,,426,45w6d,11/26/2022,BCJ18,Female,WT,W14
416,,6.348,6.4516,0.1036,,,Male,WT,,,,,405,45w2d,11/30/2022,BCJ23B,Female,WT,W16
417,,6.466,6.566,0.1,,,Male,WT,,,,,406,45w2d,11/30/2022,BCJ23B,Female,WT,W16
659,,6.4674,6.5433,0.0759,,,Female,HET,,,,,407,45w2d,11/30/2022,BCJ23B,Female,WT,W16
658_688,,6.4875,6.5787,0.0912,,,Female,HET,,,,,660,43w5d,12/11/2022,BCW11,Female,WT,W16
418,,6.6004,6.6359,0.0355,Very light?,,Male,HET,,,,,690,43w4d,12/12/22,BCJ15,Female,WT,W16
419,,6.3085,6.4214,0.1129,,,Male,HET,,,,,651,41w4d,12/26/2022,BCJ23B,Female,WT,W16
420,,6.2571,6.3315,0.0744,,,Male,MUT,,,,,659,43w5d,12/11/2022,BCW11,Female,HET,H32
680,,6.3895,6.4895,0.1,,,Male,WT,,,,,688,43w4d,12/12/22,BCJ15,Female,HET,H29
679,,6.2218,6.4006,0.1788,,,Male,HET,,,,,682,42w1d,12/22/22,BCJ17,Female,HET,H29
681,,6.4635,6.5418,0.0783,,,Male,HET,,,,,698,41w4d,12/26/2022,BCJ23B,Female,HET,H30
421,,6.274,6.4747,0.2007,,,Female,MUT,,,,,699,41w4d,12/26/2022,BCJ23B,Female,HET,H30
676,,6.2058,6.3537,0.1479,,,Female,MUT,,,,,652,41w4d,12/26/2022,BCJ23B,Female,HET,H30
675,,6.4551,6.4792,0.0241,Very light?,,Male,HET,,,,,653,41w4d,12/26/2022,BCJ23B,Female,HET,H30
651,,6.3887,6.4148,0.0261,Very light?,,Female,WT,,,,,454,45w5d,11/27/2022,BCJ17,Female,MUT,M17
656,,6.3491,6.4861,0.137,,,Male,WT,,,,,421,42w2d,12/21/22,BCJ19,Female,MUT,M19
698,,6.2672,6.4468,0.1796,,,Female,HET,,,,,676,42w2d,12/21/22,BCJ19,Female,MUT,M19
699,,6.3393,6.467,0.1277,,,Female,HET,,,,,474,46w6d,11/19/2022,BCJ17,Female,HET,H24
652,,6.3117,6.3767,0.065,,,Female,HET,,,,,473,46w6d,11/19/2022,BCJ17,Female,HET,H24
653,,6.3686,6.4486,0.08,,,Female,HET,,,,,466,46w6d,11/19/2022,BCJ17,Female,HET,H24
655,,6.351,6.3733,0.0223,Very light?,,Male,HET,,,,,465,46w6d,11/19/2022,BCJ17,Female,HET,H24
474,,6.3458,6.4549,0.1091,,,Female,HET,,,,,470,46w6d,11/19/2022,BCJ17,Female,MUT,M17
473,,6.3799,6.4272,0.0473,,,Female,HET,,,,,467,46w6d,11/19/2022,BCJ17,Female,MUT,M17
471,,6.3259,6.4617,0.1358,,,Male,WT,,,,,468,46w6d,11/19/2022,BCJ17,Female,WT,W14
470,,6.3005,6.4165,0.116,,,Female,MUT,,,,,462,45w6d,11/26/2022,BCJ18,Male,HET,H26
468,,6.3964,6.425,0.0286,,,Female,WT,,,,,463,45w6d,11/26/2022,BCJ18,Male,HET,H26
466,,6.3206,6.4666,0.146,,,Female,HET,,,,,460,45w6d,11/26/2022,BCJ18,Male,MUT,M16
467,,6.4028,6.6172,0.2144,,,Female,MUT,,,,,461,45w6d,11/26/2022,BCJ18,Male,MUT,M16
465,,6.3785,6.5844,0.2059,,,Female,HET,,,,,455,45w5d,11/27/2022,BCJ17,Male,WT,W15
460,,6.3444,6.381,0.0366,,,Male,MUT,,,,,413,45w2d,11/30/2022,BCJ23B,Male,WT,W17
461,,6.3714,6.4643,0.0929,,,Male,MUT,,,,,415,43w5d,12/11/2022,BCW11,Male,WT,W17
462,,6.3613,6.3861,0.0248,,,Male,HET,,,,,416,43w5d,12/11/2022,BCW11,Male,WT,W17
463,,6.3479,6.4901,0.1422,,,Male,HET,,,,,417,43w5d,12/11/2022,BCW11,Male,WT,W17
464,,6.3736,6.46,0.0864,,,Female,WT,,,,,680,42w2d,12/21/22,BCJ19,Male,WT,W17
426,,6.3025,6.3168,0.0143,,,Female,WT,,,,,656,41w4d,12/26/2022,BCJ23B,Male,WT,W18
454,,6.4324,6.4846,0.0522,,,Female,MUT,,,,,411,45w2d,11/30/2022,BCJ23B,Male,HET,H27
455,,6.3493,6.4742,0.1249,,,Male,WT,,,,,414,45w2d,11/30/2022,BCJ23B,Male,HET,H27
405,,6.3457,6.5634,0.2177,,,Female,WT,,,,,418,43w4d,12/12/22,BCJ15,Male,HET,H27
406,,6.324,6.4414,0.1174,,,Female,WT,,,,,419,43w4d,12/12/22,BCJ15,Male,HET,H27
407,,6.4066,6.4393,0.0327,,,Female,WT,,,,,677,42w2d,12/21/22,BCJ19,Male,HET,H28
411,,6.5017,6.7113,0.2096,,,Male,HET,,,,,679,42w2d,12/21/22,BCJ19,Male,HET,H28
413,,6.3237,6.4691,0.1454,,,Male,WT,,,,,681,42w2d,12/21/22,BCJ19,Male,HET,H28
414,,6.3822,6.4589,0.0767,,,Male,HET,,,,,684,42w1d,12/22/22,BCJ17,Male,HET,H28
,,,,,,,,,,,,,675,42w1d,12/22/2022,BCJ17,Male,HET,H28
,,,,,,,,,,,,,654,41w4d,12/26/2022,BCJ23B,Male,HET,H31
,,,,,,,,,,,,,655,41w4d,12/26/2022,BCJ23B,Male,HET,H31
,,,,,,,,,,,,,420,43w4d,12/12/22,BCJ15,Male,MUT,M18
,,,,,,,,,,,,,471,46w6d,11/19/2022,BCJ17,Male,WT,W15
