Assays,,
Buried food pellet (61 mice),,
GI motility (61 mice),,
GTT (61 mice),,
,,
Samples:,,
"duo, jej, ile in formalin",,
Squeezed ileum in RNAlater,,
Ileum Luminal,,
Cecum Luminal,,
"Fecal pellets at 0, 6, 12, 24, 36, 48h post-indomethacin",,
,,
Mouse ID,SLC,Sex
197,WT,M
194,WT,M
152,WT,M
160,WT,M
153,WT,M
155,WT,M
17,WT,M
88,WT,M
91,WT,F
89,WT,F
90,WT,F
144,WT,F
110,WT,F
103,WT,F
101,WT,F
18,MUT,M
15,MUT,M
16,MUT,M
75,MUT,M
156,MUT,M
158,MUT,M
159,MUT,M
137,MUT,M
141,MUT,F
142,MUT,F
143,MUT,F
109,MUT,F
191,MUT,F
192,MUT,F
193,MUT,F
