MouseID,Genotype,Sex,Result,Plasma_FITC,Size
371,WT,Female,255.347,1276.735,150_kDa
348,HET,Female,218.656,1093.28,150_kDa
379,HET,Female,284.831,1424.155,150_kDa
380,HET,Female,174.615,873.075,150_kDa
384,HET,Female,246.909,1234.545,150_kDa
370,HET,Female,369.241,1846.205,150_kDa
429,HET,Female,190.412,952.06,150_kDa
369,MUT,Female,301.306,1506.53,150_kDa
390,MUT,Female,218.558,1092.79,150_kDa
381,MUT,Female,177.222,886.11,150_kDa
26,HET,Female,169.781,848.905,4_kDa
255,HET,Female,149.63,748.15,4_kDa
231,HET,Female,154.333,771.665,4_kDa
258,HET,Male,246.57,1232.85,4_kDa
308,HET,Male,142.574,712.87,4_kDa
275,HET,Male,130.726,653.63,4_kDa
263,HET,Male,170.596,852.98,4_kDa
230,HET,Male,182.095,910.475,4_kDa
229,HET,Male,180.703,903.515,4_kDa
238,HET,Male,130.661,653.305,4_kDa
375,WT,Male,167.894,839.47,150_kDa
389,WT,Male,233.283,1166.415,150_kDa
373,HET,Male,275.621,1378.105,150_kDa
50,HET,Male,206.664,1033.32,150_kDa
353,MUT,Female,176.476,882.38,4_kDa
264,MUT,Male,165.692,828.46,4_kDa
299,MUT,Male,175.161,875.805,4_kDa
228,MUT,Male,183.869,919.345,4_kDa
262,MUT,Male,167.664,838.32,4_kDa
305,MUT,Male,173.513,867.565,4_kDa
235,WT,Female,169.449,847.245,4_kDa
236,WT,Female,187.754,938.77,4_kDa
232,WT,Female,238.199,1190.995,4_kDa
352,WT,Female,391.499,1957.495,4_kDa
234,WT,Female,205.603,1028.015,4_kDa
227,WT,Male,208.687,1043.435,4_kDa
237,WT,Male,177.043,885.215,4_kDa
276,WT,Male,167.27,836.35,4_kDa
226,WT,Male,272.01,1360.05,4_kDa
356,WT,Male,132.608,663.04,4_kDa
